,User,Review Date,Ratings,Review
0,AS,2022,1,This was a Christmas gift that arrived with a HUGE dent and would not connect. Horrible! Ruined it for my loved one.
1,Joe Bailey,2022,1,Playstation is charging customers to repair systems that are faulty from the factory. My issue didn't arise until the warranty was expired. (power shutting off during games)
2,Rayson’s Distribution LLC,2022,5,The best value is the digital but this one is the second best haha
3,Viktor K.,2022,5,"I got the PlayStation 5 on Launch Day in November 2020. The quality of the games and their performance has really improved and been maximized! Going into this new generation has really opened my eyes to how gaming can keep improving. I had initially thought that there was no way for game visuals and scope to improve and get better beyond the PS4 generation.When trying out remasters of the last-generation games, you will immediately notice that nearly every game has a 60FPS (Frames Per Second) Mode. When swinging around in Spiderman or brawling in God of War, the performance really makes the games feel fresh and so much better. They not only look better but also feel and move better. It is like you're playing on a Beast-Computer. You will notice that the games are not really making as many compromises in their overall scope and vision.The DualSense Controller has been one of the most innovative factors for me personally. Game controllers have had vibration and haptic feedback rumble before this console, but this new controller really changes the games. You actually feel moments and elements that were originally meant to only be visual through the game. When driving a car in Gran Turismo 7, you feel the weight of the car in the controller. You feel the the road at the bottom half of the controller and whether it is rainy or not will impact that feel. In a Military Action Video Game, you feel each weapon differently and can even feel spinning helicopter blades within the controller moving! A game involving Archery will have a certain expected tension in the triggers like a real-life bow/arrow. The Dualsense controller connects you to the game and really feels next-generation. You have the option to turn off the haptics but it is very cool!Going back to the performance of the new console, it really is super-fast! It comes with an impressive Solid State Drive for storing your games internally and loading a game literally takes one or two seconds. Waiting for a few minutes is a thing of the past! The UI and overall experience really feels new and works fast and great. Some have been skeptical about this next-generation but this is one where not only the visuals of games improve but also their actual realistic feel in your hands.The PlayStation 5 is fun! The Lineup is really amazing and everything looks and plays in a great standard of quality."
4,Aleana Johnson,2022,2,I just got it in today and no one told me that it was going to be used and damaged. I’m a little disappointed.
5,Dorian park,2022,5,I love my ps5 fast shipping and great price
6,Gardenia gonzalez,2022,5,good product
7,Andrew,2022,1,"Do not buy, got the green screen of death in 3 minutes. Didn’t even put it in safe mode… it turned green when I was setting the system up…"
8,Xavier Hall,2022,1,"Playstation HQ told me directly to my face that I should've never bought this console. It's been faulty since the first day. It doesn't work longer than one hour before shutting off. It was sent in to Playstation for repair not even 6 months after owning the console. Nowadays it doesn't run without shutting off. Terrible machine. I wasn't able to get any money back, nevertheless, a refund. Playstation supervisions informed me that they personally never would've bought this, and they feel sorry that I'm an owner, yet they can't do anything to help me. At least they were honest, LOL at me"
9,Wilson F.,2022,5,"Came on time, works great - thank you."
10,Blink,2022,5,you know what time it is
11,Prime Customer,2022,1,Overpriced and doesn't offer much more that ps4. Don't waste your money
12,Alex,2022,5,I got this to play fifa on. I liked it.
13,RPM,2022,1,Why this PlayStation 5 cost 660 😂 what you guys drinking worst part it’s over two year now that Console release lol no thank you
