,User,Review Date,Ratings,Review
0,Khang Ngo,2022,5,"This console is an absolute beast! I finally managed to get my hands on it through Amazon’s invite after 2 years of the chip shortage and scalping issues. It arrived a couple days later as scheduled, no problems. Set up was simple and was kinda surprised by the weight of the console. It’s a THICC BOI for sure. The login process took less than 10 min, quick and easy. Installed  games then instantly felt the difference. Loading times is literally insane, first time experiencing an SSD as fast as this. Unfortunately, I have a ton of big titles so the 1 TB of storage filled up shortly after. I later decided to get the Seagate expansion card which was $20 off on sale. The card is a great accessory to complement the console, I use it to store the Optimized Series X games and then a 4 TB hard drive for the older games. I also really enjoy the controller, it feels really good in the hands. Playing Overwatch 2 and MW2 at 120 FPS on my 4K HDR TV was an absolute experience! Game-pass is also great to add to the experience, great value with a large library of games with diverse genres. Overall, the console is great! Playing games has never been better for a competitive gamer like me. Sometimes I feel like I’m cheating with how powerful this thing is for only $500. However, I do wish there were more exclusives for the Series X but I feel like this console will get better as time goes on. Microsoft and the Xbox team outdid themselves in delivering such a beast of a console for this next generation. Whichever side of the console war you’re on, at the end of the day it’s a preference. I really feel like that not one side of the fandom will regret in getting any of these new consoles (Series X/PS5)."
1,SuperginraiX,2020,4,"So, yeah, new generation of hardware from Microsoft but can I talk about that box?  Because that was a spectacular way to jump into the next Xbox.You open the box up and there is the Series X all wrapped up like it's in a treasure chest.  It was great!  I actually had to take some video of it because it was above and beyond what I expected from unboxing a new console.  So good job on that!I'm upgrading from an Xbox One S and from that perspective, it was definitely time to upgrade.  I've got this 4K TV without a system that properly utilizes it!  I held off on getting a One X because I knew the next Xbox system would be coming out soon enough.And here it is.Visually speaking, I'm not really noticing TOO much difference from games on the One S.  There are some added details on some of my old games to upgrade them to 4K and I notice some effects that weren't there before.  Everything is less fuzzy.  So that's good.  It's just not the same as the visual jump from the NES to the SNES.  Or the Playstation to the Playstation 2.  But it IS close to the leap from the Xbox 360 to the Xbox One.  The difference there was only noticeable a few years after the fact for me.  I imagine the same will be true here, especially since most of the games I'm playing right not are Xbox One games upgraded to 4K and not native Series X games, beyond Yakuza: Like a Dragon.And that details the biggest drawback to getting a Series X at launch: lack of a strong exclusive library of games.  While the Playstation 5 has Spider-Man: Miles Morales, Godfall, and Sackboy, there isn't anything on the Xbox that can't be played on the PS5 except Yakuza: Like a Dragon (and that can probably be played as a PlayStation 4 game through backwards compatibility).  With Halo Infinite being delayed, there's no massive reason to upgrade your hardware.Well... I SAY that but I also don't regret doing so.  I'm disappointed in the lack of exclusives but the 4K is still very nice.  And it isn't even the best part of the Series X.  That would be the load times.  With the new hardware and the new memory storage system, games load incredibly fast.  I used to start a game up and then head into the kitchen to grab a drink or whatever while the console booted things up but those days are done.  This thing zips along.  That also applies while you're in the game.  Reloads and fast travels, even cut-scenes, happen swiftly.  There's a lot of power in this rectangular box.  The Playstation 5 also has super fast load times so it's not a selling feature if you're comparing consoles but, on its own, it presents a compelling case.It's a lot of the ""under-the-hood"" features that build this system up as a good replacement for your Xbox One.  The fact that it is capable of playing a large number of Xbox's back catalog going all the way back to the original Xbox means you'll have a huge library of games to play even if they aren't brand new exclusives.  I've got a serious backlog of titles so playing them in 4K and getting into my games faster is fine for me right now.  If you are a Gamepass subscriber, you have a large library of games to choose from right out of the gate, including a lot of EA games added from their EA Play subscription service.  I spent my first day just downloading everything I'm going to be wasting my time on over the next few months.And, let me be clear: if you play on Xbox, do yourself a favor and subscribe to Gamepass.  You get some great games and many of them are upgraded to take advantage of the Series X.  It's a good deal.I'm happy with my purchase.  I wish Halo would have made launch.  I'm also happy they held it back so that when it releases, it's worth playing.  But, man, launch would have made this purchase a lot more palatable.  In the end, it comes down to where your friends are.  Mine are on Xbox so here I am.  This thing is a powerhouse and I doubt I'm going to regret having it a year or so down the line.But if you have to make a choice between this and the Playstation 5 and you don't really do online gaming with your friends, the Playstation 5 makes a more compelling case this holiday season.  Miles Morales looks really good.But if Sony's exclusives don't move you, the third party games are all multiplatform.  You can enjoy your Call of Dutys and your Assassin's Creeds on whatever console you manage to get.  In 2020, I think we could all use a win and I think there's enough to keep you busy on both consoles to check that win box.Oh! This thing also has a controller!  It is pretty much exactly like the Xbox One controller which was a slight upgrade from the 360 controller... which was an upgrade from the Xbox S controller.  This is my favorite controller layout and it feels as comfortable in my hands as the XB1 version.  There's a capture button now to take pictures and video which is something Sony added with the PlayStation 4 and Nintendo added on the Switch.  So Microsoft is a little behind but it's here now!  I have not used it yet but I'm sure I'll get around to it.Anyway, welcome to the next generation of video game hardware.  This thing is a beast of tech and should prove a worthwhile purchase. In time.  Day one, you know what you're getting: an I.O.U. note promising better things to come.But, man, that treasure box opening is pretty great. ;)"
2,Ricardo Orrantia Ponce,2021,5,"I have been a gammer all my life, have owned almost every console since the Atari Pong all the way till the Ps4 and Switch, but I have skipped most Xbox' s except for the original that was given to me as a gift.This new console that Microsoft has made is in my opinion the absolute best in this generation. Spec-wise it cannot be beat and if superior to the PS5 I most respects. But when you use your series X and in conjunction with Game Pass Ultimate (GPU), it simply becomes the hands down, no questions asked, absolute BEST VALUE in gaming anywhere! Today Microsoft has also teamed up their GPU service with EA, and now we can get most sports games and most EA titles included in GPU. But you must also add the future inclusion of Bethesda and all their amazing titles from day one in GUP since MS has bought them out.So how can't  you go wrong with the MOST POWERFUL CONSOLE EVER MADE and the potential of including GPU to make it the best value in gaming PERIOD.Yes some will think that their are few titles specifically made for this new generation as of this writing, but the same goes for Playstation, and Sony changed their mind in the short term, as most titles that they have as great exclusives are also being released for the foreseeable future on PS4 as well as PS5.PROS:- Best Value in gaming when used with Game Pass Ultimate.- Most powerful console ever made (12TFLOPS - 52 CU's).- Intuitive and very functional OS.- Great games even for this generation like: Medium.- FPS Boos feature for older games.- Automatic HDR for older games.- Instant Resume feature is just awesome!- Great controls, I thought I would not like them, BUT THEY ARE GREAT!- Minimalistic design, that goes well with anything you have already.- QUIET there is no noticeable sound of fans even when gaming for hours.- More available space in internal drive then PS5.CONS:- Controllers use a AA Battery... WHY would you do this in 2021? Yes there are options, but I should not need to look for options, personally for now I went the rechargeable Energizer route, but it is a hassle that should not be present in a console this generation.- No gimmicks and straightforward pure power, no you don't get resistance in the adaptive triggers like a PS5, makes it feel a bit less futuristic.- Had a bug happen to me more then once while purchasing new games, got an error, so for workaround had to add to cart, go to billing address, put edit, select the same billing address and then it worked, very annoying.SPECS:- Processor: 8-core AMD Ryzen Zen 2-architecture CPU at 3.8GHz (3.6GHz with SMT)- Graphics: AMD Navi/RDNA 2-family GPU with 52 CU at 1.825GHz (12TFLOPS FP32)- Video:16GB GDDR6 with 14Gbps 320-bit interface (10GB at 560GB/s allocated to GPU, 6GB at 336GB/s allocated to rest of system with 3.5GB for GPU)- Die Size: 360.45 mm2- Process: 7nm Enhanced- Memory: 16 GB GDDR6 w/ 320mb bus- Memory Bandwidth: 10 GB @ 560 GB/s, 6GB @ 336 GB/s- Internal Storage: 1 TB Custom NVME SSD- I/O Throughput: 2.4 GB/s (Raw), 4.8 GB/s (Compressed, with custom hardware decompression block)- Expandable Storage: 1 TB Expansion Card - Seagate ATM only avail.- External Storage: USB 3.2 External HDD - WB Black Gaming 5TB what I got for it.- Optical Drive: 4K UHD Blu-Ray Drive-- Performance: 4K @ 60 FPS, up to 4K @ 120 FPS, 8K @ 60 FPS- Size: 301mm x 151mm x 151mmFinally, I will recommend  this console over the the PS5, its simply a BEAST and a better value when teamed with GPU. I won't get a Ps5 for the foreseeable future at least not till late 2022, since by then they might really have PS5 exclusives that don't get. a PS4 version.The Xbox Series X is such a great console that you would be hard pressed to look it over over the hype that the Ps5 has generated because of its lack of availability. So if you like simply the best console this generation and wish to get the best bang for your buck, Xbox Series X simply rocks.PRO+ : The Xbox series X is also an amazing emulation system, it can run Retroarch with no hacks, with nothing weird, just look it up in YouTube and you will find tutorials. But it can do emulation like very few systems and it add to its tremendous lineup and value.Great job Microsoft, you not only added a customer, but a new fan."
3,Anthony C. Franchino,2022,5,"When I purchased this, I was afraid of the internet scams going on these days, open a box and see an empty shell. This is legit and it’s at retail price which you can’t find on eBay or other online buying sites. It’s perfect. Exactly what I purchased.It’s also a gaming console so it does everything it needs to do just like my Xbox One X. No complaints."
4,Jesse,2021,5,"I started out on the OG Xbox when I was 5 years old cause my dad bought it, he then bought the 360 and I loved that. When PS4 came out however I bought that cause the og Xbone was trash. After a 4 years or so however I had a spat with Sony customer support which if you have dealt with them ever it's awful. Pre-ordered a bunch of games, but then decided to stop gaming  in college (stupid decision), they wouldn't let me cancel despite then being pre-orders cause they're policy is trash. I disputed it, they banned account, I created a new one later on my roommate's PS5. Really liked horizon forbidden west not gonna lie. Nothing was actually seriously wrong with the PS4 itself, just Sony was. Xbox one x came out and I just had to buy it. My dad had the og Xbox one, and my word the continual updates to Xbox UI showed, it was fantastic. Then the game pass came out, if you are a playstation camper, let me just say this thing is actually amazing. I'd been falling out of love with gaming honestly, all the AAA games coming out had sucked recently. It felt that I couldn't have fun without spending a lot of money. One of the first games I played on the game pass was Control. Holy crap I missed out on this when it launched, and  I never would have discovered it if not for gamepass. I've discovered over 20+ games I never would have bought at full price and am loving it, it made me like gaming again truly.  When PS4 and XSX we're announced it felt like PS5 was the Xbox one at launch all over again. Trying take as much money as possible, and not being consumer friendly. Xbox smart delivery (no rebuying games) compared to Sony's pay $10-$20 for upgrade or buy the PS5 version for $60-70 all over again. Like come on, that's BS. All my saves are saved in cloud, I set up my XSX in 10 min, 7 of those was because it was updating. Only thing I had to do was download my games. Yeah launch titles sucked, but Xbox bought Bethesda so that doesnt matter anymore. All first party games are on the game pass day 1. I have not bought a single game since I bought control's XSX version (I could still play Xbox one version on game pass but I wanted to give Ray tracing a go, I had not purchased the Xbox one version though I should note, so this was my first time buying at a gp discount no less). It's fantastic, I'm getting equal or better value than PC (since new games are released on it as well). Everything is just so easy and simple on Xbox compared to PS5. It's like IOS vs the early days of Android (which I now own). Having experienced PS and Xbox, Xbox just has a much more stream lined experience. Also Xbox live crashes like maybe 1/6th (honestly maybe less) of the amount of PSN, like good lord that was actually the most annoying thing ever. The PS5 itself just seems outdated, and Sony seems hostile to the consumer.  Honestly this is hands down the best console I have ever owned except maybe the 360 because that was gaming's last golden age imo with COD, halo, GOW, mass effect, too many to name. Overall a just superior product, I do hate Sony after my spat, I fully admit that, but objectively this console is just better. I see nothing but frustration on the PS5. I will miss Horizon, but that's it. So unless you absolutely need God of war or something, like what Halo is (was) to me, buy this. Hell buy this over a PC, I was debating it, but this year and probably next year as well is just bad for getting or building a gaming PC. Seriously buy this console if you are on the fence, if you are debating at all, buy this console. It's xbox's generation this time around, for value, ease of use, as a finished product, and #1...for games and gamers. I debated for weeks which console to buy last generation, but it was simple this time around and I have zero regrets. In the end for the same amount of money you will be able play 2-3x the game you would on PS5, you can play 360 and OG Xbox games as well, for free if you own them already. If you own a gaming PC though, you don't need it."
5,Brillis,2022,5,"+Powerful hardware that can keep up with some PC's.+Game Pass library is great!+Beautiful graphics and visuals.+No technical issues out of the box.+Also plays BluRay, DVD and CD's.-I'd like to see Game Pass increase the quantity of available games.-Large downloads (Both system and game) can make things tedious for users with slow internet speeds.Overall, great console that I'm thoroughly enjoying"
6,Jamie,2022,5,I had searched everywhere to get this for my son for Christmas. Nobody had it. I was so happy to find this on Amazon and at the best price I have seen. Shipping was so quick and it arrived undamaged. My son was so happy Christmas morning!!
7,Rodney Peterson,2020,5,"Back in 2013, both Microsoft and Sony launched the Xbox One and PlayStation 4 (respectively). Compared to the generation prior (Xbox 360 and PS3) and how those compared to current PC's of the day, the seventh console generation did not start well. From false promises from Mark Cerny about the PS4 hitting 1080p and 60FPS for every game, to Microsoft's loss of focus on gaming... couple that with the less than impressive comparison to PC's, and you would find the apology for sale a few years later with the PS4 Pro and Xbox One X. Those were what we should have gotten to kick of a generation.Now here we are in 2020. The only downside has been acquiring one of the consoles and the lack of supply due to COVID-19. The Xbox Series X (seriously, Microsoft needs to do something about the naming) is a great offering with great value tucked away inside of the Xbox service.Without getting deep into the technical specs, I will highlight some key differences between the Series X and the One X. The SSD is first. Fast load times across the board for games and the system itself. The 1TB is not what you get in full, but it is not an issue if you keep a small catalogue of installed games. Currently with 6 games installed (AC: Valhalla, Destiny 2 ((all expansions)), GTA V, Red Dead Redemption 2 and Watch Dogs Legion), i am sitting at 357.5GB of free space. The frame rates are great with the ability to keep a steady 60FPS and achieve up to 120FPS. 4K is glorious with HDR. The Ray Tracing that some games have is a really nice touch, but unless you stop to smell the roses (or in this case the, wander up and stare at them), it doesn't jump out at you.Otherwise the console is impressive. Not a single sound has come from the machine in my few hours (extended this evening) of play time. The start up speed is incredibly fast and this is both from a fresh boot, to the low-power mode, to the unplugging method. Quick Resume is something to appreciate as well. Being able to have a handful of games running at once is a nice feature especially if you are one who has game ADD, or want to hop back into a single-player game after having a multiplayer session with friends.The new controller is built on the old saying, ""If it ain't broke, don't fix it."" While Sony went with a new design and functionality for the PS5 with the DuelSense controller (seriously the haptic feedback is a cool addition, but I have a weird feeling it will fade out at some point), I can't help but feel Microsoft kinda missed a chance with the Series X controller, by not adding a similar feature. However, the controller feels lighter than the last, that could be due to the fact I am using batteries instead of a play and charge kit. It feels also, slightly slimmer all around, but the shape is still ergonomically pleasing for any hand to hold. I don't mind the absence of an internal battery pack. I find that the play and charge is a nice option, and that with batteries you never have to worry about being plugged in. The jump to USB type C is nice as well, as most of the devices I own use that port exclusively. Added on to the controller's body is a texture around the back of the hand grips and the tops of the triggers. My grip feels more stable and connected. Also, the addition of a share button is nice for two reasons. First it is a great way to capture what you want without sacrificing gameplay or being vulnerable in a multiplayer title. And 2, it allows for screenshots to now be captured that when being taken by hitting the Guide button, would sometimes cause elements to disappear.As for the value tucked away that I mentioned, that comes thanks to Game Pass. A service I was not fully sold on when it was announced, but as time went on, I became interested and am now a member. And now with them (Microsoft) partnering with EA to bring EA Access to game pass, it makes me wonder what the future holds."
8,SIILKK G.Q,2023,3,"I love Xbox X but the memory is totally disappointing. I don't want to spend $200 -$400 to install the games I frequently play on an expansion cards sold only by one supplier. You can only play XS games on internal or the Seagate card. As more of the games on my external hard drive update to XS they become useless as I have no room on the internal hard drive.  PS5 allows you to pick your own compatible ssd drive from various suppliers making them affordable. PS5 also allows you to pick ps5 or ps4 versions of the game allowing compatibility with what ever hard drive you have. Xbox forces you to update your game to XS if you are using the XS....thus making your game on external hard disk useless. Xbox please stop making dumb decisions and make the system as compatible and versatile as possible. With halo dead and gears of War dying Xbox needs to step things up. I left PS because the network WAS terrible always down, matchmaking at the time WAS none existent, then they got hacked, ruining all online play for half a year and my credit card info was sold on the black market. I remember when Xbox gold games was A list games not F or D list games, and you owned them.  I have not forgotten, but if you don't tighten up I'll leave you too. But other than my personal rant and no choice but to by high price memory, the system works. Pushes 120 frames and 4k with games that allows the settings. Hate that they removed the hdmi one guide input, like in the Xbox one cause I used that as my cable box and gaming all in one."
9,Austin Berry,2022,5,Had this for 3 months or more and I’ve been impressed with what it can do compared to the original Xbox x that I have.Definitely happy with my purchase!
